Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Tuition_fees_up_to_date,Scholarship_holder,Age_at_enrollment,Debtor,Admission_grade,Application_mode,Displaced,Previous_qualification_grade,Status
0,0.0,0,0.0,Yes,No,20,No,127.3,2nd phase - general contingent,Yes,122.0,Dropout
6,13.666666666666666,6,14.0,No,No,19,No,142.5,International student (bachelor),Yes,160.0,Graduate
0,0.0,0,0.0,No,No,19,No,124.8,1st phase - general contingent,Yes,122.0,Dropout
5,12.4,6,13.428571428571429,Yes,No,20,No,119.6,2nd phase - general contingent,Yes,122.0,Graduate
6,13.0,5,12.333333333333334,Yes,No,45,No,141.5,Over 23 years old,No,100.0,Graduate
5,11.5,5,11.857142857142858,Yes,No,50,Yes,114.8,Over 23 years old,No,133.1,Graduate
8,14.345,7,13.3,Yes,Yes,18,No,128.4,1st phase - general contingent,Yes,142.0,Graduate
0,0.0,0,0.0,No,No,22,No,113.1,3rd phase - general contingent,Yes,119.0,Dropout
6,14.142857142857142,6,13.875,Yes,Yes,21,No,129.3,1st phase - general contingent,No,137.0,Graduate
2,13.5,5,11.4,No,No,18,Yes,123.0,1st phase - general contingent,Yes,138.0,Dropout
5,14.2,6,12.333333333333334,Yes,No,18,No,130.6,1st phase - general contingent,Yes,139.0,Graduate
7,13.214285714285714,7,13.214285714285714,Yes,Yes,18,No,119.3,1st phase - general contingent,Yes,136.0,Graduate
0,0.0,0,0.0,Yes,No,19,No,130.2,1st phase - general contingent,Yes,133.0,Dropout
5,11.0,6,10.571428571428571,Yes,Yes,21,No,111.8,Short cycle diploma holders,Yes,110.0,Graduate
5,12.0,4,13.25,Yes,Yes,18,No,137.1,1st phase - general contingent,Yes,149.0,Graduate
0,0.0,5,13.2,Yes,No,20,No,120.7,1st phase - general contingent,Yes,127.0,Dropout
2,11.0,1,12.0,Yes,No,18,No,137.4,3rd phase - general contingent,Yes,137.0,Enrolled
8,14.545,7,13.30625,Yes,No,18,No,127.3,2nd phase - general contingent,Yes,135.0,Graduate
4,12.25,4,12.5,Yes,No,20,No,136.3,1st phase - general contingent,Yes,137.0,Graduate
6,13.5,6,11.666666666666666,Yes,No,18,No,124.6,1st phase - general contingent,Yes,140.0,Enrolled
0,0.0,0,0.0,Yes,Yes,21,No,120.3,1st phase - general contingent,No,122.0,Graduate
8,11.425,7,11.4375,Yes,No,20,No,121.8,3rd phase - general contingent,Yes,127.0,Enrolled
7,12.857142857142858,7,12.857142857142858,Yes,No,18,No,125.5,1st phase - general contingent,Yes,142.0,Graduate
6,12.285714285714286,6,13.375,Yes,Yes,19,No,114.9,1st phase - general contingent,Yes,125.0,Graduate
7,14.114285714285714,6,13.296666666666669,Yes,No,19,No,123.9,1st phase - general contingent,No,126.0,Graduate
4,11.0,5,11.6,Yes,Yes,18,Yes,157.0,1st phase - general contingent,Yes,151.0,Enrolled
6,13.285714285714286,6,11.375,Yes,No,21,No,116.4,2nd phase - general contingent,Yes,115.0,Graduate
4,13.0,5,12.666666666666666,Yes,No,18,No,131.0,1st phase - general contingent,Yes,138.0,Enrolled
5,12.333333333333334,5,12.0,Yes,No,20,No,122.1,1st phase - general contingent,Yes,135.0,Graduate
6,13.716666666666669,6,12.933333333333332,Yes,No,19,No,118.8,2nd phase - general contingent,Yes,127.0,Enrolled
5,10.571428571428571,5,11.857142857142858,Yes,No,21,No,150.0,Technological specialization diploma holders,No,150.0,Enrolled
4,13.4,6,12.833333333333334,Yes,No,20,No,130.0,Change of institution/course,Yes,125.0,Graduate
2,13.5,3,11.333333333333334,No,No,18,No,138.8,1st phase - general contingent,No,143.0,Enrolled
6,14.375,6,12.666666666666666,Yes,No,19,No,134.5,3rd phase - general contingent,Yes,138.0,Graduate
5,13.428571428571429,5,12.4,Yes,No,34,No,131.4,1st phase - general contingent,No,130.0,Graduate
1,10.0,0,0.0,No,No,37,Yes,102.5,Over 23 years old,No,130.0,Dropout
